Id_Campaña,Id_Cultivo,Precio_Dolares
2002,14,"162,72"
2003,14,"169,77"
2004,14,"186,27"
2009,14,"239,47"
2010,14,"268,87"
2011,14,"352,01"
2012,14,"311,18"
2013,14,"347,82"
2014,14,"299,77"
2015,14,"234,93"
2016,14,"292,44"
2017,14,"286,09"
2018,14,"288,27"
2019,14,"222,83"
2020,14,"244,19"
2021,14,"452,93"
2002,32,"78,91"
2003,32,"78,85"
2004,32,"80,59"
2010,32,"134,06"
2011,32,"185,29"
2012,32,"165,47"
2013,32,"163,44"
2014,32,"140,95"
2015,32,"110,22"
2016,32,"167,18"
2017,32,"144,44"
2018,32,"155,13"
2019,32,"140,19"
2020,32,"149,82"
2021,32,"199,27"
2002,25,"168,05"
2003,25,"177,46"
2004,25,"193,39"
2009,25,"263,68"
2010,25,"262,13"
2011,25,"317,92"
2012,25,"346,4"
2013,25,"332,15"
2014,25,"305,37"
2015,25,"238,82"
2016,25,"258,42"
2017,25,"250,66"
2018,25,"274,28"
2019,25,"234,87"
2020,25,"258,06"
2021,25,"335,8"
2002,26,"56,31"
2003,26,"61,12"
2004,26,"64,83"
2009,26,"107,89"
2010,26,"106,61"
2011,26,"168,06"
2012,26,"149,83"
2013,26,"153,73"
2014,26,"120,13"
2015,26,"114,67"
2016,26,"140,66"
2017,26,"119,81"
2018,26,"141,05"
2019,26,"129,51"
2020,26,"143,78"
2021,26,"183,48"
2002,28,"103,4"
2003,28,"114,47"
2004,28,"107,09"
2012,28,"153,48"
2013,28,"249,24"
2014,28,"201,94"
2015,28,"113,25"
2016,28,"150,89"
2017,28,"160,48"
2018,28,"202,71"
2019,28,"189,3"
2020,28,"194,37"
2021,28,"221,75"
2005,14,"177,49"
2006,14,"169,22"
2007,14,"296,89"
2008,14,"355,58"
2005,25,"169,68"
2006,25,"175,13"
2007,25,"216,64"
2008,25,"277,38"
2005,26,"48,33"
2006,26,"69,83"
2007,26,"111,23"
2008,26,"122,45"
2005,28,"100,28"
2006,28,"108,22"
2007,28,"144,3"
2008,28,"154,65"
2005,32,"69,78"
2006,32,"91,62"
2007,32,"117,96"
2008,32,"141,49"